"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status","Collection","Custom Sort Order","Global Sort Order","Source Category Order","Source Product URL","Metafield: custom.source_image_url [url]"
"copa-do-mundo-da-fifa-2026-2026-album-brochura-fifa-world-cup-2026","Copa do Mundo da FIFA 2026™ 2026 Álbum Brochura FIFA WORLD CUP 2026™","<p>As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026™! O álbum tem 980 cromos, sendo 68 deles especiais, e contempla as 48 seleções que participam do Mundial de 2026, que acontece entre junho e julho no México, nos Estados Unidos e no Canadá.</p> <h3>Ficha Técnica</h3> <p>Álbum brochura formato fechado: 232 x 270 mm, 112 páginas + capa / Miolo e capa: 4 cores</p> <p>Produto(s) licenciado(s) FIFA. FIFA World Cup 26™, logos e marcas relacionados são marcas registradas da FIFA.</p> <h3>Detalhes do Produto</h3> <table> <tbody> <tr><th>Editora</th><td>Panini</td></tr> <tr><th>Data da publicação</th><td>30 abril 2026</td></tr> <tr><th>Idioma</th><td>Português</td></tr> <tr><th>Número de páginas</th><td>112 páginas</td></tr> <tr><th>ISBN-10</th><td>6555165758</td></tr> <tr><th>ISBN-13</th><td>978-6555165753</td></tr> <tr><th>Peso do produto</th><td>250 g</td></tr> </tbody> </table>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Álbum","categoria-albuns, colecao-albuns, ordem-categoria-01, ordem-produto-001, ordem-global-0001, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","250","shopify","50","deny","manual","23.00","","TRUE","TRUE","","assets/products/copa-do-mundo-da-fifa-2026-2026-album-brochura-fifa-world-cup-2026.jpg","1","Copa do Mundo da FIFA 2026™ 2026 Álbum Brochura FIFA WORLD CUP 2026™","FALSE","Copa do Mundo da FIFA 2026™ 2026 Álbum Brochura FIFA WORLD CUP 2026™","As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026™! O álbum tem 980 cromos, sendo 68...","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/copa-do-mundo-da-fifa-2026-2026-album-brochura-fifa-world-cup-2026.jpg","kg","","","active","Álbuns","001","0001","01 - Álbuns","https://paninoficial.com/produto/Mundo-2026TM-Álbum-Brochura-WORLD","assets/products/copa-do-mundo-da-fifa-2026-2026-album-brochura-fifa-world-cup-2026.jpg"
"copa-do-mundo-2026-album-capa-dura-fifa-world-cup-2026","Copa Do Mundo 2026 - Álbum Capa Dura - FIFA WORLD CUP 2026™️","<p>As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da Copa do Mundo da FIFA  2026™!</p> <p>O álbum tem 980 cromos, sendo 68 deles especiais, e contempla as 48 seleções que participam do Mundial de 2026, que acontece entre junho e julho no México, nos Estados Unidos e no Canadá.</p> <h3>Ficha Técnica</h3> <p>Álbum brochura formato fechado: 232 x 270 mm, 112 páginas + capa / Miolo e capa: 4 cores / Álbum capa dura formato fechado: 232 x 27 mm, 112 páginas + capa / Miolo e capa: 4 cores ou versão com acabamento metalizado / 980 cromos formato 49 x 65 mm (912 em couché, 68 especiais em papel metalizado). Envelopes no formato 80 x 100 mm com 7 cromos.</p> <h3>Detalhes do Produto</h3> <table> <tbody> <tr><th>Referência</th><td>005460AHCBR</td></tr> <tr><th>Ano de publicação</th><td>2026</td></tr> <tr><th>Mês</th><td>Maio</td></tr> <tr><th>Quantidade de páginas</th><td>0</td></tr> <tr><th>Encadernação</th><td>Não disponível</td></tr> <tr><th>Coleção</th><td>WORLD CUP 2026</td></tr> <tr><th>Classificação etária</th><td>3 anos</td></tr> </tbody> </table>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Álbum","categoria-albuns, colecao-albuns, ordem-categoria-01, ordem-produto-002, ordem-global-0002, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","70","deny","manual","68.00","","TRUE","TRUE","","assets/products/copa-do-mundo-2026-album-capa-dura-fifa-world-cup-2026.jpg","1","Copa Do Mundo 2026 - Álbum Capa Dura - FIFA WORLD CUP 2026™️","FALSE","Copa Do Mundo 2026 - Álbum Capa Dura - FIFA WORLD CUP 2026™️","As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da Copa do Mundo da FIFA 2026™! O álbum tem 980 cromos, s...","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/copa-do-mundo-2026-album-capa-dura-fifa-world-cup-2026.jpg","kg","","","active","Álbuns","002","0002","01 - Álbuns","https://paninoficial.com/produto/copa-do-mundo-2026-album-capa-dura-fifa-world-cup-2026","assets/products/copa-do-mundo-2026-album-capa-dura-fifa-world-cup-2026.jpg"
"copa-do-mundo-2026-album-capa-dura-prata-fifa-world-cup-2026","Copa Do Mundo 2026 - Álbum Capa Dura Prata - FIFA WORLD CUP 2026™️","<p>As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da Copa do Mundo da FIFA  2026™!</p> <p>O álbum tem 980 cromos, sendo 68 deles especiais, e contempla as 48 seleções que participam do Mundial de 2026, que acontece entre junho e julho no México, nos Estados Unidos e no Canadá.</p> <h3>Ficha Técnica</h3> <p>Álbum brochura formato fechado: 232 x 270 mm, 112 páginas + capa / Miolo e capa: 4 cores / Álbum capa dura formato fechado: 232 x 27 mm, 112 páginas + capa / Miolo e capa: 4 cores ou versão com acabamento metalizado / 980 cromos formato 49 x 65 mm (912 em couché, 68 especiais em papel metalizado). Envelopes no formato 80 x 100 mm com 7 cromos.</p> <h3>Detalhes do Produto</h3> <table> <tbody> <tr><th>Referência</th><td>005460AHC3BR</td></tr> <tr><th>Ano de publicação</th><td>2026</td></tr> <tr><th>Mês</th><td>Maio</td></tr> <tr><th>Quantidade de páginas</th><td>0</td></tr> <tr><th>Encadernação</th><td>Não disponível</td></tr> <tr><th>Coleção</th><td>WORLD CUP 2026</td></tr> <tr><th>Classificação etária</th><td>3 anos</td></tr> </tbody> </table>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Álbum","categoria-albuns, colecao-albuns, ordem-categoria-01, ordem-produto-003, ordem-global-0003, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","49","deny","manual","72.00","","TRUE","TRUE","","assets/products/copa-do-mundo-2026-album-capa-dura-prata-fifa-world-cup-2026.jpg","1","Copa Do Mundo 2026 - Álbum Capa Dura Prata - FIFA WORLD CUP 2026™️","FALSE","Copa Do Mundo 2026 - Álbum Capa Dura Prata - FIFA WORLD CUP 2026™️","As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da Copa do Mundo da FIFA 2026™! O álbum tem 980 cromos, s...","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/copa-do-mundo-2026-album-capa-dura-prata-fifa-world-cup-2026.jpg","kg","","","active","Álbuns","003","0003","01 - Álbuns","https://paninoficial.com/produto/copa-do-mundo-2026-album-capa-dura-prata-fifa-world-cup-2026","assets/products/copa-do-mundo-2026-album-capa-dura-prata-fifa-world-cup-2026.jpg"
"copa-do-mundo-2026-album-capa-dura-ouro-fifa-world-cup-2026","Copa Do Mundo 2026 - Álbum Capa Dura Ouro- FIFA WORLD CUP 2026™️","<p>As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da Copa do Mundo da FIFA  2026™!</p> <p>O álbum tem 980 cromos, sendo 68 deles especiais, e contempla as 48 seleções que participam do Mundial de 2026, que acontece entre junho e julho no México, nos Estados Unidos e no Canadá.</p> <h3>Ficha Técnica</h3> <p>Álbum brochura formato fechado: 232 x 270 mm, 112 páginas + capa / Miolo e capa: 4 cores / Álbum capa dura formato fechado: 232 x 27 mm, 112 páginas + capa / Miolo e capa: 4 cores ou versão com acabamento metalizado / 980 cromos formato 49 x 65 mm (912 em couché, 68 especiais em papel metalizado). Envelopes no formato 80 x 100 mm com 7 cromos.</p> <h3>Detalhes do Produto</h3> <table> <tbody> <tr><th>Referência</th><td>005460AHC2BR</td></tr> <tr><th>Ano de publicação</th><td>2026</td></tr> <tr><th>Mês</th><td>Maio</td></tr> <tr><th>Quantidade de páginas</th><td>0</td></tr> <tr><th>Encadernação</th><td>Não disponível</td></tr> <tr><th>Coleção</th><td>WORLD CUP 2026</td></tr> <tr><th>Classificação etária</th><td>3 anos</td></tr> </tbody> </table>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Álbum","categoria-albuns, colecao-albuns, ordem-categoria-01, ordem-produto-004, ordem-global-0004, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","29","deny","manual","72.00","","TRUE","TRUE","","assets/products/copa-do-mundo-2026-album-capa-dura-ouro-fifa-world-cup-2026.jpg","1","Copa Do Mundo 2026 - Álbum Capa Dura Ouro- FIFA WORLD CUP 2026™️","FALSE","Copa Do Mundo 2026 - Álbum Capa Dura Ouro- FIFA WORLD CUP 2026™️","As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da Copa do Mundo da FIFA 2026™! O álbum tem 980 cromos, s...","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/copa-do-mundo-2026-album-capa-dura-ouro-fifa-world-cup-2026.jpg","kg","","","active","Álbuns","004","0004","01 - Álbuns","https://paninoficial.com/produto/copa-do-mundo-2026-album-capa-dura-ouro-fifa-world-cup-2026","assets/products/copa-do-mundo-2026-album-capa-dura-ouro-fifa-world-cup-2026.jpg"
"envelope-de-figurinhas-copa-do-mundo-fifa-2026-sortido-panini","Envelope de Figurinhas - Copa do Mundo - FIFA - 2026 - Sortido - Panini","<p>As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026! O álbum tem 980 cromos, sendo 68 deles especiais, e contempla as 48 seleções que participam do Mundial de 2026.</p> <h3>Ficha Técnica</h3> <p>Figurinhas por pacote: 7</p> <h3>Detalhes do Produto</h3> <table> <tbody> <tr><th>• Dimensões aproximadas da embalagem</th><td>27x01x24cm (AxLxC)</td></tr> <tr><th>• Composição do material</th><td>Papel</td></tr> <tr><th>• Código do fabricante</th><td>005460B7BR</td></tr> <tr><th>• Peso aproximado</th><td>0.060</td></tr> <tr><th>• EAN</th><td>7897653549146</td></tr> </tbody> </table>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Figurinha","categoria-figurinhas, colecao-figurinhas, ordem-categoria-02, ordem-produto-001, ordem-global-0005, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","100","deny","manual","6.70","","TRUE","TRUE","","assets/products/envelope-de-figurinhas-copa-do-mundo-fifa-2026-sortido-panini.jpg","1","Envelope de Figurinhas - Copa do Mundo - FIFA - 2026 - Sortido - Panini","FALSE","Envelope de Figurinhas - Copa do Mundo - FIFA - 2026 - Sortido - Panini","As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026! O álbum tem 980 cromos, sendo 68...","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/envelope-de-figurinhas-copa-do-mundo-fifa-2026-sortido-panini.jpg","kg","","","active","Figurinhas","001","0005","02 - Figurinhas","https://paninoficial.com/produto/pre-venda--envelope-de-figurinhas---copa-do-mundo---fifa---2026---sortido---panini","assets/products/envelope-de-figurinhas-copa-do-mundo-fifa-2026-sortido-panini.jpg"
"copa-do-mundo-da-fifa-2026-kit-com-12-envelopes-de-figurinhas-fifa-world-cup-2026","Copa do Mundo da FIFA 2026™ Kit com 12 Envelopes de Figurinhas FIFA WORLD CUP 2026™","<p>As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026™! O álbum tem 980 cromos, sendo 68 deles especiais, e contempla as 48 seleções que participam do Mundial de 2026, que acontece entre junho e julho no México, nos Estados Unidos e no Canadá.</p> <h3>Ficha Técnica</h3> <p>Kit com 12 Envelopes com cromos formato 49 x 65 mm (912 em couché, 68 especiais em papel metalizado). Envelopes no formato 80 x 100 mm com 7 cromos.</p>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Figurinha","categoria-figurinhas, colecao-figurinhas, ordem-categoria-02, ordem-produto-002, ordem-global-0006, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","98","deny","manual","74.00","","TRUE","TRUE","","assets/products/copa-do-mundo-da-fifa-2026-kit-com-12-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","1","Copa do Mundo da FIFA 2026™ Kit com 12 Envelopes de Figurinhas FIFA WORLD CUP 2026™","FALSE","Copa do Mundo da FIFA 2026™ Kit com 12 Envelopes de Figurinhas FIFA WORLD CUP 2026™","As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026™! O álbum tem 980 cromos, sendo 68...","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/copa-do-mundo-da-fifa-2026-kit-com-12-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","kg","","","active","Figurinhas","002","0006","02 - Figurinhas","https://paninoficial.com/produto/Mundo-2026TM-Envelopes-Figurinhas-WORLD2","assets/products/copa-do-mundo-da-fifa-2026-kit-com-12-envelopes-de-figurinhas-fifa-world-cup-2026.jpg"
"box-com-50-envelopes-de-figurinhas-fifa-world-cup-2026","Box com 50 Envelopes de Figurinhas FIFA World Cup 2026™","<p>Box oficial com 50 pacotes de figurinhas da Copa do Mundo FIFA 2026™. Total de 350 figurinhas. Ideal para completar seu álbum rapidamente.</p>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Figurinha","categoria-figurinhas, colecao-figurinhas, ordem-categoria-02, ordem-produto-003, ordem-global-0007, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","42","deny","manual","239.90","","TRUE","TRUE","","assets/products/box-com-50-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","1","Box com 50 Envelopes de Figurinhas FIFA World Cup 2026™","FALSE","Box com 50 Envelopes de Figurinhas FIFA World Cup 2026™","Box oficial com 50 pacotes de figurinhas da Copa do Mundo FIFA 2026™. Total de 350 figurinhas. Ideal para completar seu álbum rapidamente.","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/box-com-50-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","kg","","","active","Figurinhas","003","0007","02 - Figurinhas","https://paninoficial.com/produto/box-50-pacotes-figurinhas-fifa-world-cup-2026","assets/products/box-com-50-envelopes-de-figurinhas-fifa-world-cup-2026.jpg"
"box-com-100-envelopes-de-figurinhas-fifa-world-cup-2026","Box com 100 Envelopes de Figurinhas FIFA World Cup 2026™","<p>Box premium com 100 pacotes de figurinhas da Copa do Mundo FIFA 2026™. Total de 700 figurinhas. Para o colecionador dedicado.</p>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Figurinha","categoria-figurinhas, colecao-figurinhas, ordem-categoria-02, ordem-produto-004, ordem-global-0008, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","24","deny","manual","349.86","","TRUE","TRUE","","assets/products/box-com-100-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","1","Box com 100 Envelopes de Figurinhas FIFA World Cup 2026™","FALSE","Box com 100 Envelopes de Figurinhas FIFA World Cup 2026™","Box premium com 100 pacotes de figurinhas da Copa do Mundo FIFA 2026™. Total de 700 figurinhas. Para o colecionador dedicado.","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/box-com-100-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","kg","","","active","Figurinhas","004","0008","02 - Figurinhas","https://paninoficial.com/produto/box-100-pacotes-figurinhas-fifa-world-cup-2026","assets/products/box-com-100-envelopes-de-figurinhas-fifa-world-cup-2026.jpg"
"copa-do-mundo-da-fifa-2026-box-premium-ima-c-1-album-capa-dura-prata-40-envelopes-de-figurinhas-fifa-world-cup-2026","Copa do Mundo da FIFA 2026™ Box Premium Imã C/ 1 Álbum Capa Dura Prata + 40 Envelopes de Figurinhas FIFA WORLD CUP 2026™","<p>As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026™! O álbum tem 980 cromos, sendo 68 deles especiais, e contempla as 48 seleções que participam do Mundial de 2026, que acontece entre junho e julho no México, nos Estados Unidos e no Canadá.</p> <h3>Ficha Técnica</h3> <p>Álbum capa dura formato fechado: 232 x 27 mm, 112 páginas + capa / Miolo e capa: 4 cores ou versão com acabamento metalizado (Ouro ou Prata) 980 cromos formato 49 x 65 mm (912 em couché, 68 especiais em papel metalizado). Envelopes no formato 80 x 100 mm com 7 cromos.</p>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Kit","categoria-kits, colecao-kits, ordem-categoria-04, ordem-produto-001, ordem-global-0009, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","31","deny","manual","259.90","","TRUE","TRUE","","assets/products/copa-do-mundo-da-fifa-2026-box-premium-ima-c-1-album-capa-dura-prata-40-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","1","Copa do Mundo da FIFA 2026™ Box Premium Imã C/ 1 Álbum Capa Dura Prata + 40 Envelopes de Figurinhas FIFA WORLD CUP 2026™","FALSE","Copa do Mundo da FIFA 2026™ Box Premium Imã C/ 1 Álbum Capa Dura Prata + 40 Envelopes de Figurinhas FIFA WORLD CUP 2026™","As emoções do maior espetáculo esportivo do mundo eternizadas no maior álbum de figurinhas de todos os tempos! Uma coleção completa, com todas as seleções classificadas, cromos especiais e todos os detalhes para você acompanhar de pertinho a disputa pela taça da FIFA World Cup 2026™! O álbum tem 980 cromos, sendo 68...","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/copa-do-mundo-da-fifa-2026-box-premium-ima-c-1-album-capa-dura-prata-40-envelopes-de-figurinhas-fifa-world-cup-2026.jpg","kg","","","active","Kits","001","0009","04 - Kits","https://paninoficial.com/produto/Mundo-2026TM-Premium-Envelopes-Figurinhas","assets/products/copa-do-mundo-da-fifa-2026-box-premium-ima-c-1-album-capa-dura-prata-40-envelopes-de-figurinhas-fifa-world-cup-2026.jpg"
"kit-premium-fifa-world-cup-2026-album-adrenalyn-starter-70-figurinhas","Kit Premium FIFA World Cup 2026™ - Álbum + Adrenalyn Starter + 70 Figurinhas","<p>Kit premium exclusivo com álbum oficial capa dura + Starter Pack Adrenalyn XL™ + 10 pacotes de figurinhas. O presente perfeito para o fã da Copa.</p>","Panin","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Kit","categoria-kits, colecao-kits, ordem-categoria-04, ordem-produto-002, ordem-global-0010, panini, fifa-world-cup-2026, pix-5-off","TRUE","Title","Default Title","","","","","","","shopify","21","deny","manual","169.90","","TRUE","TRUE","","assets/products/kit-premium-fifa-world-cup-2026-album-adrenalyn-starter-70-figurinhas.jpg","1","Kit Premium FIFA World Cup 2026™ - Álbum + Adrenalyn Starter + 70 Figurinhas","FALSE","Kit Premium FIFA World Cup 2026™ - Álbum + Adrenalyn Starter + 70 Figurinhas","Kit premium exclusivo com álbum oficial capa dura + Starter Pack Adrenalyn XL™ + 10 pacotes de figurinhas. O presente perfeito para o fã da Copa.","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","","","","new","TRUE","assets/products/kit-premium-fifa-world-cup-2026-album-adrenalyn-starter-70-figurinhas.jpg","kg","","","active","Kits","002","0010","04 - Kits","https://paninoficial.com/produto/kit-premium-album-adrenalyn-50-figurinhas-fifa-2026","assets/products/kit-premium-fifa-world-cup-2026-album-adrenalyn-starter-70-figurinhas.jpg"
